Topic,Description,Front_end,Back_end,DBMS
Establishing a Server log system for E-governance with appropriate notification and content based classification of log AICTE,"""Establishing a server log system for e-governance with notification capabilities and content-based classification tailored for AICTE.""","HTML,CSS,React",ASP.NET,
Awareness and Preparedness Towards Disaster Management,"""Enhancing awareness and preparedness for disaster management.""",Angular,Python,
Cybersecurity Portal for Effective Management of Servers and Firewalls,"""Developing a cybersecurity portal for efficient server and firewall management.""",React,Django,
Integration of AI for Adaptive Learning for MCQ Selection in PARAKH,"""Integrating AI for adaptive learning and MCQ selection in PARAKH.""","HTML,CSS",Python,
Integration of Multiple Data-bases of AICTE in order to fetch Coherent Information,"All India Council for Technical Education (AICTE) has implemented a large-scale program to assess and improve the skills of engineering students in India in AICTE Approved Technical Institutions across the country. In respect of analysis, each of the online assessments (including those testing academic skills and those testing higher order thinking skills) is used for comparing student outcomes. More specifically, each of the Online assessments will be considered as unidimensional, reliable, and good at measuring a range of student ability. The vast majority of the items should also demonstrate psychometric characteristics of students. A Questions bank is already prepared and random selection of questions has been selected for the assessment. However, for the further development PARAKH teams needs a web-based adaptive multiple-choice question (MCQ) testing system that delivers MCQ assessments to users over the internet and adapts the questions based on the user's performance and abilities. A Pre-assessment or initial knowledge assessment can be designed to gauge the user's baseline knowledge; an initial assessment may be conducted. This assessment can consist of a set of MCQs covering different topics or difficulty levels. Based on that result a final assessment can be prepared. The system employs an adaptive algorithm that analyzes the user's responses, time spent on each question and level of difficulty and number of time questions has been asked in the past and also for performance data from the pre-assessment to determine their knowledge level and proficiency in specific areas. The algorithm uses this information to select subsequent questions that appropriately assessment to the students. Based on the adaptive algorithm, the system selects the next set of MCQs from a question bank. The questions chosen may vary in difficulty and content based on the student's performance. For example, if the student answers a question correctly, the platform may present a more challenging question next, while an incorrect answer may result in an easier question. AI based question generation should be integrated in the portal so that no random question is picked from the database and overall performance will be low.",Angular,ASP.NET,
AI Based - Designing of Assistive portal for Stakeholders in Approval Process,"The All India Council for Technical Education (AICTE) is responsible for overseeing and regulating technical education in India. As part of its functions, AICTE manages and maintains data related to various technical institutions across the country. This data includes information about colleges, courses, faculty, scholarships, approvals and other relevant schemes. One of the challenges faced by AICTE is the need to efficiently search and retrieve information from multiple databases. With a vast amount of data spread across numerous databases, it becomes crucial to have a robust and reliable search engine system in place. However, the current search mechanisms employed by AICTE encounter several limitations and inefficiencies, hampering the process of extracting relevant information. The existing problem arises due to the following factors: 1. Fragmented Database Structure 2. Limited Search Capability 3. Slow Search Speed 4. Data Consistency and Accuracy Addressing these challenges and implementing an improved search system for multiple databases can provide AICTE with the following benefits: Enhanced Search Accuracy and Relevance: A robust search system with advanced search algorithms and indexing techniques can significantly improve the accuracy and relevance of search results, allowing AICTE to access the most relevant information efficiently. 1. Increased Search Speed and Efficiency: By optimizing the search algorithms and leveraging efficient indexing methods, AICTE can achieve faster search speeds, reducing the time required to retrieve data from multiple databases and improving overall operational efficiency. 2. Improved Data Consistency and Quality: Implementing mechanisms to ensure data consistency and accuracy across databases will enhance the reliability and integrity of search results. Regular data synchronization and quality checks can eliminate inconsistencies and provide users with reliable and up-to-date information. 3. Scalability and Future-Readiness: Designing the search system with scalability in mind will enable AICTE to accommodate the growth of data and seamlessly integrate new databases as the technical education landscape evolves. This future-readiness will ensure that the search system remains efficient and effective in the long term. In conclusion, developing a comprehensive SEARCH engine system for multiple databases will address the limitations of the current search mechanisms employed by AICTE.","HTML,CSS",Django,
Get Fit Faster with a High-Tech Tracker: Analyze Human Activity and GPS Data for Improved Results,"The All India Council for Technical Education (AICTE) plays a crucial role in approving and regulating technical education institutions in India. The approval process ensures that institutions meet the required standards and guidelines set by AICTE, ensuring quality education and a standardized framework. However, the current approval process faces several challenges, which hinder its efficiency and effectiveness. 1. Complex Approval Process Structure 2. Difficulty in Understanding of Approval Process Handbook 3. Complex Documentation Requirements Conclusion: Implementing a Comprehensive Portal for Simplified Understanding of AICTE's Approval Process Handbook and generate the final fee submission to all the stakeholders In conclusion, a viable solution to address the difficulties in understanding AICTE's Approval Process Handbook is to develop a dedicated portal that streamlines the approval process for technical institutions. This portal would allow institutes and stakeholders to input their specific course, infrastructural requirement and in return, provide the all the required documents, along with fee structure information. The fundamental objective of this portal is to parse the approval process handbook and convert its contents into a user-friendly format that facilitates easy comprehension and understanding of AICTE's requirements. By implementing such a portal, the following benefits can be achieved: 1. Enhanced Clarity and Ease of Understanding: The portal would transform the complex language and technical jargon of the Approval Process Handbook into simplified and easily understandable information. Institutes and stakeholders would have a clear understanding of the specific requirements and guidelines outlined by AICTE, facilitating efficient compliance. 2. Customized Guidance and Relevant Documentation: The portal would dynamically generate the required documentation templates, and fee structures based on the specific course requirements inputted by the institute. This tailored approach ensures that the information provided is directly relevant to the institute's needs, streamlining the approval process. 3. Time and Resource Efficiency: The portal would significantly reduce the time and effort required for institutes to interpret and navigate the Approval Process Handbook. By automating the parsing and presentation of information, the portal expedites the understanding of AICTE's requirements, saving valuable resources for both AICTE and the institutes. 4. Increased Accuracy and Compliance: With a user-friendly portal providing comprehensive and clear instructions, institutes are more likely to adhere accurately to AICTE's guidelines. This would result in improved compliance and higher-quality submissions, reducing the need for reworks and ensuring smoother and faster approval processes. 2 5. Continuous Updates and Real-time Assistance: The AI based portal can be regularly updated to reflect any changes or amendments in the Approval Process Handbook. Additionally, it can provide real-time assistance and support, offering clarification on specific queries or concerns raised by institutes during the approval process. By developing a comprehensive portal that effectively parses and presents the Approval Process Handbook, AICTE can empower institutes and stakeholders to easily understand and comply with the requirements. This would foster transparency and assistance to the approval process, and ultimately contribute to the growth and development of the technical education sector in India.",React,ASP.NET,
"Speech to text transcription for Indian languages. The problem entails transcription in the native script and then translation to English. The languages of interest are Hindi, Indian English, Urdu, Bengali, Punjabi.","Description (Background, Detailed Description, and Expected Solution): Various fields require Human Action Recognition (HAR) to function optimally. For instance, the healthcare sector needs HAR to monitor the activities of patients, the elderly, or people with specific needs. By doing so, it can offer prompt services and make decisions in real-time according to the requirements. Similarly, the sports industry also utilizes HAR to track a player's performance by monitoring their movements, identifying and comparing the actions performed, and conducting automatic statistical analysis. Consequently, it is essential to implement such workflows quickly and more efficiently based on specific domain requirements. An effective solution is to consider various sensor data from mobile phones, such as accelerometers and GPS, and analyze such short-duration time series data. The analysis may aim at estimating the activity, distance traveled, steps taken, calories burned, and altitude climbed, among others. The solution is expected in the form of Android/iOS app that is developed using Simulink (with the help of Android/iOS support packages). References links below: 1. Counting Steps by Capturing Acceleration Data from Your Mobile Device https://in.mathworks.com/help/matlabmobile/ug/counting-steps-by-capturing-acceleration-data.html 2. Acquire GPS Data from Your Mobile Device and Plot Your Location and Speed on a Map https://in.mathworks.com/help/matlabmobile/ug/acquire-gps-data-and-plot-your-location-and-speed-on-a-map.html 3. Human Activity Recognition Simulink Model for Smartphone Deployment https://in.mathworks.com/help/stats/human-activity-recognition-simulink-model-for-deployment.html 4. High School Students Create Fitness Trackers for MATLAB STEM Challenge https://blogs.mathworks.com/student-lounge/2019/06/05/fitness-trackers-stem-challenge/ 5. Introduction to Machine Learning https://in.mathworks.com/videos/series/introduction-to-machine-learning.html YouTube Link/Video Link (3-minute video explaining the problem statement): Signal Processing and Machine Learning Techniques for Sensor Data Analytics * https://www.youtube.com/watch?v=GZ3KUPqA1JM","HTML,CSS",Java,
Efficient enumeration of URLs of active hidden servers over anonymous channel (TOR),"The problem entails transcription of audio files to the native script of the audio and then translation to English. The languages of interest are as mentioned below. A key element to be considered is that the solution would be required to be tuned for Indian accents. The languages of interest for the problem statement are shown below: ÃƒÂ¯Ã¢â‚¬Å¡Ã‚Â· Hindi ÃƒÂ¯Ã¢â‚¬Å¡Ã‚Â· Indian English ÃƒÂ¯Ã¢â‚¬Å¡Ã‚Â· Urdu ÃƒÂ¯Ã¢â‚¬Å¡Ã‚Â· Bengali ÃƒÂ¯Ã¢â‚¬Å¡Ã‚Â· Punjabi Datasets pertaining to theses languages will be provided by us, which will consist of two major chunks of data: Training Set and a hidden test set. The participants will have only access to the Training set. They will develop their solutions based on the Training set. After the final solution submission by the participants, the final hackathon rankings will be decided by evaluation on the hidden test set. This is done to ensure that the participants solutions generalize better on newer data. The evaluation metric we want to use for this hackathon will be Word Error Rate (WER). The WER will be computed between the actual translated text with the solution generated text. The lower the WER the better the model.",React,.NET,
Create an intelligent system using AI/ML to detect phishing domains which imitate look and feel of genuine domains,"The Onion Routing (TOR) is an overlay anonymous network over internet, which not only anonymizes clients accessing the TOR network or internet but also facilitate hosting of servers anonymously. These servers have been reported to be hosting various hidden services involved in malicious activities. The goal of this problem statement is to develop Proof of Concept (PoC) to enumerate URLs (.onion) of active hidden servers hosted over TOR. Teams are supposed to examine the cryptographic security controls and survey existing vulnerabilities in underlying security architecture of TOR network to develop PoC for efficient enumeration of URLs of active hidden services hosted over TOR.","Vue.js, Materialize",PHP,
"Investigation of vulnerabilities in implementation of crypto library used by OpenVPN for Internet Protocol Security (IPsec), IPV6 deployment.","Phishing attack is the most prevalent attack technique to compromise users worldwide. Phishing links/websites are shared through number of mediums like email, SMS etc. to target users. These domains are at times host user login page that imitates the genuine target websites. Login attempts on such pages can lead to compromise of user credentials and may also download malicious payload in user computers. The objective of the problem is to identify such phishing domains from the newly registered websites based on open source databases (Example WHOIS Database). Such databases provide list of newly registered domains. The tool should be automated and harness power of AI/ML to identify phishing domains from genuine domains. It may use the following techniques: (a) Backend code / content similarity in web pages. (b) Web page image analysis (i.e. analysis between genuine and phishing site web page images; more the similarity better is the probability score of being a lookalike phishing site). The evaluation would be based on the toolÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s ability with regard to the following: (e) Probability scores of phishing domains on how close they are to the genuine domain. (f) Ability to detect new phishing domains in reasonable time. (g) Ease of use and flexibility in output formats.","HTML,CSS,React",PHP,
Develop Ransomware Readiness Assessment tool.,"Internet Protocol Security (IPsec) is a widely used network layer security control for protecting communications. It is a framework of open standards for ensuring secure communication over IP network. The goal of this problem statement is to identify unknown vulnerabilities in implementation of crypto libraries used by OpenVPN for Internet Protocol Security (IPsec), IPV6 deployment. Teams may undertake static/ dynamic analysis of relevant code to discover any unknown software bug. Emphasis should be on finding unknown vulnerabilities in implementation of cipher suites/ crypto libraries used by OpenVPN for encryption and authentication in IPsec tunnel. Teams may also investigate and report vulnerable configuration and associated exploitation vector leading to compromise of data confidentiality, which have not been reported so far for IPSEC IPv6 deployment using OpenVPN.","React Native, Expo, JavaScript",.NET,
Develop a AI/ML tool to detect whether a system / firewall /router / network is compromised. The technique should not rely only on IoCs (Indicators of Compromises) detection.,Ransomware is a type of malicious software designed to block access ICT devices by encryption of data until ransom is paid to attacker. It is of paramount importance to increase awareness regarding such attacks and assess readiness of the ICT infrastructure of any organisation to thwart these attacks or atleast recover at the earliest. The developer should design and deploy a methodology to evaluate posture and preparedness of an organization towards stopping / mitigating threat from ransomware attack. The developed tool shall be evaluated based on following: (a) Depth of the tool to assess readiness of organization to hinder / stop /mitigate ransomware attack. (b) Assessment of organization towards detection of early signs of ransomware. (c) Ease of use and awareness imparted by the tool. (d) Visualization and reporting of the maturity assessment of the organization.,"HTML,CSS,React",JAVA,
Develop and deploy a Large Language Model (LLM) based tool for generating human like responses to natural language inputs for network not connected over internet,"Early detection of a compromise of any compute device is critical for security of critical information infrastructure. While most of infections on ICT are detected using IoCs (Indicators of Compromises), the objective of this problem is to explore techniques for detection of compromise on devices using AI / ML models when the IoC of the compromise is not known. The developer should employ innovative models for non-IoCs based detection of compromise on devices. The evaluation of the solution will be based on the following: (a) Innovation and ruggedness of the method of detection of compromise. (b) Utility of the method developed over various types of devices including system / firewall / router / network. (c) Ease of deployment and method of reporting of detected compromise. (d) Ability to minimize false alarms of compromise.","React,JavaScript",Python,
"Design, develop and implement a software bill of materials (SBOM) generation tool that can generate the complete SBOM of custom-developed software (including in-house developments by organisations)","LLMs have been released by various entities / research organizations for academic and commercial use. These models can be used for generating human like responses on text based systems with server-client model. The objective of the problem is to develop a tool for network not connected to internet with following basic functions: (a) AI/ML based Text Summarization of given text. (b) Summarization of Science andamp; Technology (Sandamp;T) related documents. (c) Summarization of NEWS papers headlines and editorial pages for quick overview of specific topics. (d) Reformatting and grammar checks with contextual integrity. (e) Additional capabilities which the developer can incorporate based on features available in open source LLM models. The solutions shall be graded on the capabilities, ease of use, flexibility and scalability of deployment and number of compatible models.","React Native, Expo, JavaScript",ASP.NET,
Web /Mobile based tool for mapping of Water supply network,Jal Jeevan Mission was launched with the vision of providing drinking water in adequate quantity of prescribed quality on regular and long-term basis to every rural household. A cost effective technology is required for providing web/ mobile based tool for mapping of water supply network through creating geospatial database of all major structure of Water supply system with provision with grievance redrassal and IoT system for alert monitoring.,"Angular, Bootstrap",PHP,
Devise the method for identification of victims buried under avalanches.,"Description (Background): Avalanches can be very dangerous and unpredictable. Even if we take preventive measures to avoid them, probability of getting caught in an avalanche is still there. Ff victims are buried under avalanche, it is important to take immediate action because the probability of survival decreases with time (survival chances goes down to less than 30% after an hour). Avalanche victim detector or other Ground Penetrating radar-based methods are there for victim identification but these field based techniques are difficult to use during harsh climatic condition but these field based techniques are difficult to use during harsh climatic conditions and rough terrain. Explore the new technologies for example in the field of Al/ML that can be used for detection of victim buried under an avalanche.","HTML,CSS,React",.NET,
Novel Technologies for Early Detection and Mitigation of Avalanches,Avalanche is a sudden downhill movement of snow mass along with rocks and boulders which can cause damage to human life and property. An early detection of avalanches and pre-warning about the threat can save precious lives and habitats. Suggest innovative ideas for early prediction and Mitigation of Snow Avalanches in vulnerable mountain terrain.,"React,Bootstrap",JAVA,
Lean module for reasoning about computational complexity in GPTs.,"Formalization of mathematics and computer science is in vogue. Formalization means to express mathematical concepts, definitions, theorems, and proofs in a way that can be checked by a computer for correctness. Lean theorem prover is interactive and based on dependent type theory which is a powerful and expressive framework for formalizing computer science. It has been used for example in formalization of number theory. Similarly, it can be used to formalize the notion of computational complexity of generalized probabilistic theories (GPTs). Some of the relevant computational complexity classes are BGP (=AWPP), BQP, BPP, PP, PSPACE. We can formalize the notions of these computational complexity classes and the relations among them in lean. We can also move further on to formalize the notion of higher order interference in physical theories and formalize some theorems related to it. The exact problem is to write relevant lean module(s) containing the basic definitions, results in GPTs and tools for reasoning about computational complexity in GPTs. The developed module can further be used to give formal proofs for theorems and lemmas.",Angular,PHP,
Robust human target detection and acquisition,Robust human target detection and acquisition/locking without losing track under occlusions for outdoor operational scenarios. Visuals alarm generation upon anomaly detection (i.e human jumping/ crawling/ running).,"React Native, Expo, JavaScript",ASP.NET,
Deep learning for terrain recognition,"Vision based methods using deep learning such as CNN to perform terrain recognition (sandy/rocky/grass/marshy) enhanced with implicit quantities information such as the roughness, slipperiness, an important aspect for high-level environment perception.",Vue.js,.NET,
AI-ML based intelligent de-smoking/de-hazing algorithm,Design and Development of AI-ML based intelligent de- smoking/de-hazing algorithm for reproducing the real time video of the area under fire specifically for indoor fire hazards to aid the rescue operation.,"CSS,React",Python,
AI based Automatic alarm generation and dropping of payload at a particular object through a Drone.,"Drones are currently being widely utilized in civilian applications and military uses too. In severe earthquake and flood situations, the Drones with artificial intelligence based automatic object recognition capability can help rescue teams a lot through automatic alarm generation and dropping of payloads like food, clothes, rescue tools near detected human being. Challenge here is to detect human being from around 50-100 m above the ground at a slanted angle and then drop a payload (say flower for demonstration purposes) near him/ her. Technologies needed will be Drone, Cameras, Processor Board (Raspberry Pi or Intel NUC), Artificial Neural Network or AI hardware and Software, Payload dropping mechanism etc. The developed system will be highly useful in many DRDO projects and civilian applications.",React,PHP,
Development of motion amplification video techniques for vibration analysis,"Motion Amplification video (MAV) is a technique for visualizing and measuring vibration of structures and machinery. This processes a video clip of an object, extracts feature that are moving from frame to frame, then amplifies and replays the motion in each frame. Defects at micro scales are rendered visible. Vibration amplitudes and mode shape can be thereafter be determined. Time waveform and FFT spectrum can also be captured. This would be extremely useful in evaluating noise, vibration and shock on various platforms. It is also useful in automobile, power plants, industry and other engineering sectors.",JavaScript,PHP,
Dak Ghar Niryat Kendra,"Dak Ghar Niryat Kendra (DNK) is an initiative of the Department of Posts and CBIC, wherein the small exporters are able to electronically file a Portal Bill of Export and then present the parcel at DNK for export. 122 DNKs have so far been opened in Post Offices and 878 more shall be opened in the next two years. Although DNKs are being used by 800+ exporters, DoP is still not able to bring small traders, artisans and MSMEs onto the DNK platform as most of such entrepreneurs do not have the wherewithal to create web portals for displaying their products and accepting International e-Commerce orders, or they are find the regulatory and e-Commerce platform compliances too expensive or tedious. Moreover, the international customers find it difficult to trust the webportals or small entities. The private e-Commerce portals charge upto 40% of the sale price of orders, which is prohibitively expensive. Dak Ghar Niryat Kendra"" refers to a concept in the Indian postal system. It translates to """"Post Office Export Centre"""" in English. The Dak Ghar Niryat Kendra is a specialized facility within a post office that offers services related to export of goods.The establishment of Dak Ghar Niryat Kendra aims to simplify and streamline the export process for small and medium-sized enterprises (SMEs) by leveraging the extensive postal network and infrastructure already in place. It provides exporters with a cost-effective and accessible solution for their export logistics requirements.""",Materialize,Python,
Data Compression for backbone network,"Developing a data compression system for a backbone network. Proposed Solution:you can develop a data compression system for a backbone network that efficiently compresses data, reduces network bandwidth requirements, and optimizes network performance while considering the specific requirements and constraints of the network environment.",Bootstrap,JAVA,
Simulator system for counter Hijack and sky Marshalling operations,"Developing a simulator system for counter hijack and sky marshalling operations.You can develop a simulator system that provides realistic and effective training for counter hijack and sky marshalling operations. Collaborating with experts in aviation security, law enforcement, and simulation technology can further enhance the development process and ensure the system meets the specific needs of the training program.","HTML,CSS",.NET,
Augmented/ Virtual reality system for the live training of troops,"Develop an Augmented Reality (AR) or Virtual Reality (VR) system for the live training of troops.AR/VR system for live training of troops requires expertise in hardware, software development, content creation, and user experience design. Collaboration with domain experts, instructional designers, and technology specialists can help ensure the system meets the specific needs of the military training environment.","Angular,JavaScript",ASP.NET,
AI based IT training system,Modern technology is changing rapidly and every individual has different level of understanding and different pace of learning things. Having same course for all personnel not only result in waste of time of departments and personnel's but also affects departments productivity. Proposed Solution: AI Based training system may be developed to real time design the course based on individual understanding and learning capacity.,"HTML,CSS,React",.NET,
IT System log analyzer,CRPF units/offices and personnel are deployed in different location of CRPF. There is no centralised system to analyse the log of IT system by the experts to access threats and breaches. Proposed Solution: Centralized system should be developed for analysing the systems deployed at the different location of the country Expert per problems statement,"HTML,CSS,React",ASP.NET,
Development of Augmentative and Alternative Communication (AAC) in Indian context,"Govt. employees and departments need help in various process of general business nature ranging from procurement to implementation, authority to directions, etc. Proposed Solution: Centralised and department wise Chatbot based helpdesk should be developed Benefits: 1. Increase productivity 2. Increase inters department coordination 3. Increase job satisfaction among Govt. employees directly and indirectly in citizens.","HTML,CSS,React",JAVA,
Develop therapy materials in Hindi for misarticulation children,"communication is very important for exchanging the need, Idea and feeling among others. ACC is an option for nonverbal mode of communication for the persons with communication deficit. This mode is especially used by non verbal individuals. Those who are having multiple disability and communication deficit, they must have to communicate with others but due to lack to motor coordination, intellectual deficit and sensory perceptual deficit not able to communicate with others. This is the major problem related of communication for the multiple disability or mainly those were having maximum deficit in motor coordination for communication, Due to communication deficit peoples are not able to communicate with the society. HITECH AAC is available in India which is developed in Foreign Countries that is very costly. There is need to develop an electronically low cost AAC and hardware made in Indian context. If AAC electronic device and hardware mode will be develop in Indian context, it will be easy and helpful for persons with nonverbal communication deficit. If it is developed low cost effective as per Indian context then it will be benefits the most of the population from AAC.","HTML,CSS,React",JAVA,
